strain	ERR1414009	ERR024924	ERR024916	ERR1413996	ERR1413978	SRR1922795	ERR1414100	ERR1414012	ERR1414018	ERR1414058	SRR1922792	ERR1414031	ERR1414082	ERR1414001	ERR1414016	ERR1414095	ERR1414040	ERR1414027	ERR024903	ERR1414007	ERR1414050	ERR1414065	ERR1414039	ERR024923	ERR024904	ERR028208	ERR1414035	ERR1414033	SRR1922797	SRR1922796	ERR024901	ERR024907	ERR1414060	ERR1413989	ERR1414055	ERR1414048	ERR1413981	ERR024894	ERR1414091	ERR024928	ERR1414084	ERR1414032	ERR1414019	ERR1414067	ERR1414099	ERR1414047	ERR1413982	ERR1413987	ERR1414083	ERR1414028	ERR1414074	ERR1414092	ERR027411	ERR1414010	ERR024920	ERR1414059	ERR1414057	ERR1413984	ERR1414079	ERR024910	ERR1414075	ERR1413980	ERR1414006	ERR1414087	ERR1414086	ERR1414014	ERR1414005	ERR1414004	ERR1414015	ERR1414044	ERR1414071	ERR1414093	ERR1414011	SRR1922793	ERR1414049	ERR1414064	ERR1414076	ERR024929	ERR1413994	ERR1414043	ERR1414077	ERR024914	ERR1414101	ERR1414042	ERR1414017	ERR024921	ERR1414024	ERR1414056	ERR1414072	ERR1414013	ERR024902	ERR1414052	ERR1413983	ERR1414022	ERR1414003	ERR027412	ERR1414026	ERR1414089	ERR1413988	ERR1413993	ERR1414023	ERR1414053	ERR1414070	ERR1414025	ERR024927	ERR024925	ERR1414020	ERR024911	ERR1413991	ERR024915	ERR1413998	ERR1414034	ERR1414085	ERR1414078	ERR1414098	ERR1414045	ERR1414061	ERR1414062	ERR1414036	SRR1922794	ERR024893	ERR1414068	ERR1414094	ERR1414069	ERR1414080	ERR1414002	ERR024908	ERR1414021	ERR1413985	ERR1414037	ERR1414041	ERR1414081	ERR024917	ERR1413990	ERR1413999	ERR1414030	ERR1413992	ERR1414097	ERR1414073	ERR1414090	ERR1414096	ERR024895	ERR1414008	ERR1414051	ERR1414066	ERR1413997	ERR1413995	ERR1414046	ERR1414054	ERR1414063	ERR024930	ERR1414038	ERR024926	ERR1413976	ERR1413979	ERR1413977	ERR1414088	ERR1414029	ERR1414000	ERR1413986
ERR1413984	4719	179	4774	4774	5029	4894	4748	4718	4718	4718	5622	4718	4718	5185	4718	4718	4718	4718	6070	4718	4719	4718	4718	5866	37692	4756	4718	4718	5605	5544	21427	6675	4718	4774	4720	4718	4776	165	5031	167	4719	4718	4718	4718	4748	4718	158	4779	4746	4718	4718	4777	6194	4719	6231	4718	4718	0	4718	6136	4718	4744	4718	4718	4718	4718	4749	5870	4749	4718	4718	5190	4718	5624	4718	5189	4718	5196	4745	4718	4719	4733	4748	4748	4718	7024	4718	4718	4718	4718	167	4718	5024	4718	4768	10119	4718	4719	5172	5030	4718	4718	4718	4718	5854	5194	4718	5019	160	36641	4781	4718	4718	4718	5186	4719	4718	4718	4718	5547	18893	4718	4719	4718	4718	5185	5750	4718	4778	4748	4718	4718	8340	4777	4772	4718	158	4718	4718	5031	5545	36747	4748	4719	4718	4776	4746	4718	4718	4718	4765	4719	5845	4718	5167	5028	4718	4718	5167	4779
ERR1414079	1	4735	3657	3657	1815	885	40	0	0	0	4062	0	0	2896	0	0	0	0	4968	0	1	0	0	4066	35216	418	0	0	4030	3959	19424	5551	0	3657	2	0	3661	4721	1817	4723	1	0	0	0	38	0	4714	3664	36	0	0	3662	5135	1	5127	0	0	4718	0	5042	0	34	0	0	0	0	39	4070	39	0	0	2901	0	4064	0	2900	0	2909	37	0	1	21	38	38	0	5877	0	0	0	0	4723	0	1810	0	3651	8854	0	1	2883	1816	0	0	0	0	4054	2905	0	1805	4716	34172	3664	0	0	0	2897	1	0	0	0	3962	17140	0	1	0	0	2896	4626	0	3663	38	0	0	6995	3660	3655	0	4714	0	0	1817	3960	34278	38	1	0	3659	38	0	0	0	3648	1	4045	0	2878	1814	0	0	2878	3664
ERR024910	5043	6153	5331	5331	5375	5179	5076	5042	5042	5042	5878	5042	5042	5601	5042	5042	5042	5042	1175	5042	5043	5042	5042	6044	37058	5115	5042	5042	5816	5771	20664	5771	5042	5331	5044	5042	5337	6139	5377	6141	5043	5042	5042	5042	5074	5042	6132	5340	5072	5042	5042	5338	4960	5043	1424	5042	5042	6136	5042	0	5042	5070	5042	5042	5042	5042	5075	6052	5075	5042	5042	5606	5042	5880	5042	5605	5042	5614	5073	5042	5043	5057	5074	5074	5042	5066	5042	5042	5042	5042	6141	5042	5369	5042	5325	9059	5042	5043	5588	5376	5042	5042	5042	5042	6036	5610	5042	5365	6134	35925	5338	5042	5042	5042	5602	5043	5042	5042	5042	5774	18026	5042	5043	5042	5042	5601	4374	5042	5339	5074	5042	5042	6448	5334	5329	5042	6132	5042	5042	5377	5772	36020	5074	5043	5042	5333	5074	5042	5042	5042	5322	5043	6027	5042	5583	5374	5042	5042	5583	5340
ERR1414075	1	4735	3657	3657	1815	885	40	0	0	0	4062	0	0	2896	0	0	0	0	4968	0	1	0	0	4066	35216	418	0	0	4030	3959	19424	5551	0	3657	2	0	3661	4721	1817	4723	1	0	0	0	38	0	4714	3664	36	0	0	3662	5135	1	5127	0	0	4718	0	5042	0	34	0	0	0	0	39	4070	39	0	0	2901	0	4064	0	2900	0	2909	37	0	1	21	38	38	0	5877	0	0	0	0	4723	0	1810	0	3651	8854	0	1	2883	1816	0	0	0	0	4054	2905	0	1805	4716	34172	3664	0	0	0	2897	1	0	0	0	3962	17140	0	1	0	0	2896	4626	0	3663	38	0	0	6995	3660	3655	0	4714	0	0	1817	3960	34278	38	1	0	3659	38	0	0	0	3648	1	4045	0	2878	1814	0	0	2878	3664
ERR1413980	35	4761	3685	3685	1843	913	26	34	34	34	4086	34	34	2924	34	34	34	34	4996	34	35	34	34	4094	35241	446	34	34	4054	3983	19450	5579	34	3685	36	34	3689	4747	1845	4749	35	34	34	34	10	34	4740	3692	8	34	34	3690	5163	35	5155	34	34	4744	34	5070	34	0	34	34	34	34	11	4098	11	34	34	2929	34	4088	34	2928	34	2937	23	34	35	49	10	10	34	5905	34	34	34	34	4749	34	1838	34	3679	8880	34	35	2911	1844	34	34	34	34	4082	2933	34	1833	4742	34197	3692	34	34	34	2925	35	34	34	34	3986	17166	34	35	34	34	2924	4654	34	3691	10	34	34	7023	3688	3683	34	4740	34	34	1845	3984	34303	10	35	34	3687	24	34	34	34	3676	35	4073	34	2906	1842	34	34	2906	3692
ERR1414006	1	4735	3657	3657	1815	885	40	0	0	0	4062	0	0	2896	0	0	0	0	4968	0	1	0	0	4066	35216	418	0	0	4030	3959	19424	5551	0	3657	2	0	3661	4721	1817	4723	1	0	0	0	38	0	4714	3664	36	0	0	3662	5135	1	5127	0	0	4718	0	5042	0	34	0	0	0	0	39	4070	39	0	0	2901	0	4064	0	2900	0	2909	37	0	1	21	38	38	0	5877	0	0	0	0	4723	0	1810	0	3651	8854	0	1	2883	1816	0	0	0	0	4054	2905	0	1805	4716	34172	3664	0	0	0	2897	1	0	0	0	3962	17140	0	1	0	0	2896	4626	0	3663	38	0	0	6995	3660	3655	0	4714	0	0	1817	3960	34278	38	1	0	3659	38	0	0	0	3648	1	4045	0	2878	1814	0	0	2878	3664
ERR1414087	1	4735	3657	3657	1815	885	40	0	0	0	4062	0	0	2896	0	0	0	0	4968	0	1	0	0	4066	35216	418	0	0	4030	3959	19424	5551	0	3657	2	0	3661	4721	1817	4723	1	0	0	0	38	0	4714	3664	36	0	0	3662	5135	1	5127	0	0	4718	0	5042	0	34	0	0	0	0	39	4070	39	0	0	2901	0	4064	0	2900	0	2909	37	0	1	21	38	38	0	5877	0	0	0	0	4723	0	1810	0	3651	8854	0	1	2883	1816	0	0	0	0	4054	2905	0	1805	4716	34172	3664	0	0	0	2897	1	0	0	0	3962	17140	0	1	0	0	2896	4626	0	3663	38	0	0	6995	3660	3655	0	4714	0	0	1817	3960	34278	38	1	0	3659	38	0	0	0	3648	1	4045	0	2878	1814	0	0	2878	3664
ERR1414086	1	4735	3657	3657	1815	885	40	0	0	0	4062	0	0	2896	0	0	0	0	4968	0	1	0	0	4066	35216	418	0	0	4030	3959	19424	5551	0	3657	2	0	3661	4721	1817	4723	1	0	0	0	38	0	4714	3664	36	0	0	3662	5135	1	5127	0	0	4718	0	5042	0	34	0	0	0	0	39	4070	39	0	0	2901	0	4064	0	2900	0	2909	37	0	1	21	38	38	0	5877	0	0	0	0	4723	0	1810	0	3651	8854	0	1	2883	1816	0	0	0	0	4054	2905	0	1805	4716	34172	3664	0	0	0	2897	1	0	0	0	3962	17140	0	1	0	0	2896	4626	0	3663	38	0	0	6995	3660	3655	0	4714	0	0	1817	3960	34278	38	1	0	3659	38	0	0	0	3648	1	4045	0	2878	1814	0	0	2878	3664
ERR1414014	1	4735	3657	3657	1815	885	40	0	0	0	4062	0	0	2896	0	0	0	0	4968	0	1	0	0	4066	35216	418	0	0	4030	3959	19424	5551	0	3657	2	0	3661	4721	1817	4723	1	0	0	0	38	0	4714	3664	36	0	0	3662	5135	1	5127	0	0	4718	0	5042	0	34	0	0	0	0	39	4070	39	0	0	2901	0	4064	0	2900	0	2909	37	0	1	21	38	38	0	5877	0	0	0	0	4723	0	1810	0	3651	8854	0	1	2883	1816	0	0	0	0	4054	2905	0	1805	4716	34172	3664	0	0	0	2897	1	0	0	0	3962	17140	0	1	0	0	2896	4626	0	3663	38	0	0	6995	3660	3655	0	4714	0	0	1817	3960	34278	38	1	0	3659	38	0	0	0	3648	1	4045	0	2878	1814	0	0	2878	3664
ERR1414005	40	4766	3690	3690	1848	918	31	39	39	39	4091	39	39	2929	39	39	39	39	5001	39	40	39	39	4099	35246	451	39	39	4059	3988	19455	5584	39	3690	41	39	3694	4752	1850	4754	40	39	39	39	3	39	4745	3697	3	39	39	3695	5168	40	5160	39	39	4749	39	5075	39	11	39	39	39	39	0	4103	2	39	39	2934	39	4093	39	2933	39	2942	28	39	40	54	3	3	39	5910	39	39	39	39	4754	39	1843	39	3684	8885	39	40	2916	1849	39	39	39	39	4087	2938	39	1838	4747	34202	3697	39	39	39	2930	40	39	39	39	3991	17171	39	40	39	39	2929	4659	39	3696	1	39	39	7028	3693	3688	39	4745	39	39	1850	3989	34308	1	40	39	3692	29	39	39	39	3681	40	4078	39	2911	1847	39	39	2911	3697
ERR1414004	4071	5887	4651	4651	4417	4231	4104	4070	4070	4070	5027	4070	4070	4689	4070	4070	4070	4070	6006	4070	4071	4070	4070	186	37128	4129	4070	4070	5009	4916	20993	6745	4070	4651	4072	4070	4653	5873	4419	5875	4071	4070	4070	4070	4102	4070	5866	4656	4100	4070	4070	4654	6215	4071	6179	4070	4070	5870	4070	6052	4070	4098	4070	4070	4070	4070	4103	0	4103	4070	4070	4694	4070	5029	4070	4693	4070	4702	4101	4070	4071	4085	4102	4102	4070	6946	4070	4070	4070	4070	5875	4070	4412	4070	4645	10086	4070	4071	4676	4418	4070	4070	4070	4070	106	4698	4070	4407	5868	36048	4658	4070	4070	4070	4688	4071	4070	4070	4070	4919	18620	4070	4071	4070	4070	4689	5715	4070	4655	4102	4070	4070	8049	4654	4649	4070	5866	4070	4070	4419	4917	36143	4102	4071	4070	4653	4102	4070	4070	4070	4642	4071	97	4070	4671	4416	4070	4070	4671	4656
ERR1414015	40	4766	3690	3690	1848	918	31	39	39	39	4091	39	39	2929	39	39	39	39	5001	39	40	39	39	4099	35246	451	39	39	4059	3988	19455	5584	39	3690	41	39	3694	4752	1850	4754	40	39	39	39	3	39	4745	3697	3	39	39	3695	5168	40	5160	39	39	4749	39	5075	39	11	39	39	39	39	2	4103	0	39	39	2934	39	4093	39	2933	39	2942	28	39	40	54	3	3	39	5910	39	39	39	39	4754	39	1843	39	3684	8885	39	40	2916	1849	39	39	39	39	4087	2938	39	1838	4747	34202	3697	39	39	39	2930	40	39	39	39	3991	17171	39	40	39	39	2929	4659	39	3696	1	39	39	7028	3693	3688	39	4745	39	39	1850	3989	34308	1	40	39	3692	29	39	39	39	3681	40	4078	39	2911	1847	39	39	2911	3697
ERR1414044	1	4735	3657	3657	1815	885	40	0	0	0	4062	0	0	2896	0	0	0	0	4968	0	1	0	0	4066	35216	418	0	0	4030	3959	19424	5551	0	3657	2	0	3661	4721	1817	4723	1	0	0	0	38	0	4714	3664	36	0	0	3662	5135	1	5127	0	0	4718	0	5042	0	34	0	0	0	0	39	4070	39	0	0	2901	0	4064	0	2900	0	2909	37	0	1	21	38	38	0	5877	0	0	0	0	4723	0	1810	0	3651	8854	0	1	2883	1816	0	0	0	0	4054	2905	0	1805	4716	34172	3664	0	0	0	2897	1	0	0	0	3962	17140	0	1	0	0	2896	4626	0	3663	38	0	0	6995	3660	3655	0	4714	0	0	1817	3960	34278	38	1	0	3659	38	0	0	0	3648	1	4045	0	2878	1814	0	0	2878	3664
ERR1414071	1	4735	3657	3657	1815	885	40	0	0	0	4062	0	0	2896	0	0	0	0	4968	0	1	0	0	4066	35216	418	0	0	4030	3959	19424	5551	0	3657	2	0	3661	4721	1817	4723	1	0	0	0	38	0	4714	3664	36	0	0	3662	5135	1	5127	0	0	4718	0	5042	0	34	0	0	0	0	39	4070	39	0	0	2901	0	4064	0	2900	0	2909	37	0	1	21	38	38	0	5877	0	0	0	0	4723	0	1810	0	3651	8854	0	1	2883	1816	0	0	0	0	4054	2905	0	1805	4716	34172	3664	0	0	0	2897	1	0	0	0	3962	17140	0	1	0	0	2896	4626	0	3663	38	0	0	6995	3660	3655	0	4714	0	0	1817	3960	34278	38	1	0	3659	38	0	0	0	3648	1	4045	0	2878	1814	0	0	2878	3664
ERR1414093	2902	5207	3495	3495	3032	2538	2935	2901	2901	2901	4627	2901	2901	69	2901	2901	2901	2901	5580	2901	2902	2901	2901	4692	36572	2706	2901	2901	4601	4528	20319	6228	2901	3495	2903	2901	3499	5193	3034	5195	2902	2901	2901	2901	2933	2901	5186	3502	2931	2901	2901	3500	5743	2902	5709	2901	2901	5190	2901	5606	2901	2929	2901	2901	2901	2901	2934	4694	2934	2901	2901	0	2901	4629	2901	13	2901	168	2932	2901	2902	2916	2933	2933	2901	6427	2901	2901	2901	2901	5193	2901	3027	2901	3489	9555	2901	2902	142	3033	2901	2901	2901	2901	4678	164	2901	3022	5188	35507	3502	2901	2901	2901	10	2902	2901	2901	2901	4531	18013	2901	2902	2901	2901	9	5259	2901	3501	2933	2901	2901	7632	3498	3493	2901	5186	2901	2901	3034	4529	35596	2933	2902	2901	3497	2933	2901	2901	2901	3486	2902	4669	2901	137	3031	2901	2901	137	3502
ERR1414011	1	4735	3657	3657	1815	885	40	0	0	0	4062	0	0	2896	0	0	0	0	4968	0	1	0	0	4066	35216	418	0	0	4030	3959	19424	5551	0	3657	2	0	3661	4721	1817	4723	1	0	0	0	38	0	4714	3664	36	0	0	3662	5135	1	5127	0	0	4718	0	5042	0	34	0	0	0	0	39	4070	39	0	0	2901	0	4064	0	2900	0	2909	37	0	1	21	38	38	0	5877	0	0	0	0	4723	0	1810	0	3651	8854	0	1	2883	1816	0	0	0	0	4054	2905	0	1805	4716	34172	3664	0	0	0	2897	1	0	0	0	3962	17140	0	1	0	0	2896	4626	0	3663	38	0	0	6995	3660	3655	0	4714	0	0	1817	3960	34278	38	1	0	3659	38	0	0	0	3648	1	4045	0	2878	1814	0	0	2878	3664
SRR1922793	4065	5641	4464	4464	4435	4209	4092	4064	4064	4064	6	4064	4064	4624	4064	4064	4064	4064	5804	4064	4065	4064	4064	5023	37010	4077	4064	4064	1113	578	20329	6563	4064	4464	4066	4064	4468	5627	4437	5629	4065	4064	4064	4064	4092	4064	5620	4471	4090	4064	4064	4469	6007	4065	5950	4064	4064	5624	4064	5880	4064	4088	4064	4064	4064	4064	4093	5029	4093	4064	4064	4629	4064	0	4064	4628	4064	4637	4089	4064	4065	4079	4092	4092	4064	6777	4064	4064	4064	4064	5627	4064	4430	4064	4458	9650	4064	4065	4611	4436	4064	4064	4064	4064	5013	4633	4064	4425	5622	35953	4471	4064	4064	4064	4625	4065	4064	4064	4064	581	18179	4064	4065	4064	4064	4624	5492	4064	4470	4092	4064	4064	7981	4467	4462	4064	5620	4064	4064	4437	579	36044	4092	4065	4064	4466	4090	4064	4064	4064	4455	4065	5004	4064	4606	4434	4064	4064	4606	4471
ERR1414049	1	4735	3657	3657	1815	885	40	0	0	0	4062	0	0	2896	0	0	0	0	4968	0	1	0	0	4066	35216	418	0	0	4030	3959	19424	5551	0	3657	2	0	3661	4721	1817	4723	1	0	0	0	38	0	4714	3664	36	0	0	3662	5135	1	5127	0	0	4718	0	5042	0	34	0	0	0	0	39	4070	39	0	0	2901	0	4064	0	2900	0	2909	37	0	1	21	38	38	0	5877	0	0	0	0	4723	0	1810	0	3651	8854	0	1	2883	1816	0	0	0	0	4054	2905	0	1805	4716	34172	3664	0	0	0	2897	1	0	0	0	3962	17140	0	1	0	0	2896	4626	0	3663	38	0	0	6995	3660	3655	0	4714	0	0	1817	3960	34278	38	1	0	3659	38	0	0	0	3648	1	4045	0	2878	1814	0	0	2878	3664
ERR1414064	2901	5206	3494	3494	3031	2537	2934	2900	2900	2900	4626	2900	2900	68	2900	2900	2900	2900	5579	2900	2901	2900	2900	4691	36571	2705	2900	2900	4600	4527	20318	6227	2900	3494	2902	2900	3498	5192	3033	5194	2901	2900	2900	2900	2932	2900	5185	3501	2930	2900	2900	3499	5742	2901	5708	2900	2900	5189	2900	5605	2900	2928	2900	2900	2900	2900	2933	4693	2933	2900	2900	13	2900	4628	2900	0	2900	167	2931	2900	2901	2915	2932	2932	2900	6426	2900	2900	2900	2900	5192	2900	3026	2900	3488	9554	2900	2901	141	3032	2900	2900	2900	2900	4677	163	2900	3021	5187	35506	3501	2900	2900	2900	9	2901	2900	2900	2900	4530	18012	2900	2901	2900	2900	8	5258	2900	3500	2932	2900	2900	7631	3497	3492	2900	5185	2900	2900	3033	4528	35595	2932	2901	2900	3496	2932	2900	2900	2900	3485	2901	4668	2900	136	3030	2900	2900	136	3501
ERR1414076	1	4735	3657	3657	1815	885	40	0	0	0	4062	0	0	2896	0	0	0	0	4968	0	1	0	0	4066	35216	418	0	0	4030	3959	19424	5551	0	3657	2	0	3661	4721	1817	4723	1	0	0	0	38	0	4714	3664	36	0	0	3662	5135	1	5127	0	0	4718	0	5042	0	34	0	0	0	0	39	4070	39	0	0	2901	0	4064	0	2900	0	2909	37	0	1	21	38	38	0	5877	0	0	0	0	4723	0	1810	0	3651	8854	0	1	2883	1816	0	0	0	0	4054	2905	0	1805	4716	34172	3664	0	0	0	2897	1	0	0	0	3962	17140	0	1	0	0	2896	4626	0	3663	38	0	0	6995	3660	3655	0	4714	0	0	1817	3960	34278	38	1	0	3659	38	0	0	0	3648	1	4045	0	2878	1814	0	0	2878	3664
ERR024929	2910	5213	3503	3503	3040	2546	2943	2909	2909	2909	4635	2909	2909	163	2909	2909	2909	2909	5588	2909	2910	2909	2909	4700	36579	2714	2909	2909	4609	4536	20329	6236	2909	3503	2911	2909	3507	5199	3042	5201	2910	2909	2909	2909	2941	2909	5192	3510	2939	2909	2909	3508	5751	2910	5717	2909	2909	5196	2909	5614	2909	2937	2909	2909	2909	2909	2942	4702	2942	2909	2909	168	2909	4637	2909	167	2909	0	2940	2909	2910	2924	2941	2941	2909	6435	2909	2909	2909	2909	5199	2909	3035	2909	3497	9563	2909	2910	126	3041	2909	2909	2909	2909	4686	16	2909	3030	5194	35514	3510	2909	2909	2909	164	2910	2909	2909	2909	4539	18022	2909	2910	2909	2909	163	5269	2909	3509	2941	2909	2909	7640	3506	3501	2909	5192	2909	2909	3042	4537	35603	2941	2910	2909	3505	2941	2909	2909	2909	3494	2910	4677	2909	121	3039	2909	2909	121	3510
ERR1413994	38	4762	3688	3688	1846	916	5	37	37	37	4087	37	37	2927	37	37	37	37	4999	37	38	37	37	4097	35244	449	37	37	4055	3984	19453	5582	37	3688	39	37	3692	4748	1848	4750	38	37	37	37	27	37	4741	3695	25	37	37	3693	5166	38	5158	37	37	4745	37	5073	37	23	37	37	37	37	28	4101	28	37	37	2932	37	4089	37	2931	37	2940	0	37	38	52	27	27	37	5908	37	37	37	37	4750	37	1841	37	3682	8883	37	38	2914	1847	37	37	37	37	4085	2936	37	1836	4743	34200	3695	37	37	37	2928	38	37	37	37	3987	17169	37	38	37	37	2927	4657	37	3694	27	37	37	7026	3691	3686	37	4741	37	37	1848	3985	34306	27	38	37	3690	5	37	37	37	3679	38	4076	37	2909	1845	37	37	2909	3695
ERR1414043	1	4735	3657	3657	1815	885	40	0	0	0	4062	0	0	2896	0	0	0	0	4968	0	1	0	0	4066	35216	418	0	0	4030	3959	19424	5551	0	3657	2	0	3661	4721	1817	4723	1	0	0	0	38	0	4714	3664	36	0	0	3662	5135	1	5127	0	0	4718	0	5042	0	34	0	0	0	0	39	4070	39	0	0	2901	0	4064	0	2900	0	2909	37	0	1	21	38	38	0	5877	0	0	0	0	4723	0	1810	0	3651	8854	0	1	2883	1816	0	0	0	0	4054	2905	0	1805	4716	34172	3664	0	0	0	2897	1	0	0	0	3962	17140	0	1	0	0	2896	4626	0	3663	38	0	0	6995	3660	3655	0	4714	0	0	1817	3960	34278	38	1	0	3659	38	0	0	0	3648	1	4045	0	2878	1814	0	0	2878	3664
ERR1414077	2	4736	3658	3658	1816	886	41	1	1	1	4063	1	1	2897	1	1	1	1	4969	1	2	1	1	4067	35217	419	1	1	4031	3960	19425	5552	1	3658	3	1	3662	4722	1818	4724	2	1	1	1	39	1	4715	3665	37	1	1	3663	5136	0	5128	1	1	4719	1	5043	1	35	1	1	1	1	40	4071	40	1	1	2902	1	4065	1	2901	1	2910	38	1	0	22	39	39	1	5878	1	1	1	1	4724	1	1811	1	3652	8855	1	2	2884	1817	1	1	1	1	4055	2906	1	1806	4717	34173	3665	1	1	1	2898	0	1	1	1	3963	17141	1	2	1	1	2897	4627	1	3664	39	1	1	6996	3661	3656	1	4715	1	1	1818	3961	34279	39	0	1	3660	39	1	1	1	3649	0	4046	1	2879	1815	1	1	2879	3665
ERR024914	22	4750	3672	3672	1830	900	55	21	21	21	4077	21	21	2911	21	21	21	21	4983	21	22	21	21	4081	35231	433	21	21	4045	3974	19439	5566	21	3672	23	21	3676	4736	1832	4738	22	21	21	21	53	21	4729	3679	51	21	21	3677	5150	22	5142	21	21	4733	21	5057	21	49	21	21	21	21	54	4085	54	21	21	2916	21	4079	21	2915	21	2924	52	21	22	0	53	53	21	5892	21	21	21	21	4738	21	1825	21	3666	8869	21	22	2898	1831	21	21	21	21	4069	2920	21	1820	4731	34187	3679	21	21	21	2912	22	21	21	21	3977	17155	21	22	21	21	2911	4641	21	3678	53	21	21	7010	3675	3670	21	4729	21	21	1832	3975	34293	53	22	21	3674	53	21	21	21	3663	22	4060	21	2893	1829	21	21	2893	3679
ERR1414101	39	4765	3689	3689	1847	917	30	38	38	38	4090	38	38	2928	38	38	38	38	5000	38	39	38	38	4098	35245	450	38	38	4058	3987	19454	5583	38	3689	40	38	3693	4751	1849	4753	39	38	38	38	0	38	4744	3696	2	38	38	3694	5167	39	5159	38	38	4748	38	5074	38	10	38	38	38	38	3	4102	3	38	38	2933	38	4092	38	2932	38	2941	27	38	39	53	0	2	38	5909	38	38	38	38	4753	38	1842	38	3683	8884	38	39	2915	1848	38	38	38	38	4086	2937	38	1837	4746	34201	3696	38	38	38	2929	39	38	38	38	3990	17170	38	39	38	38	2928	4658	38	3695	2	38	38	7027	3692	3687	38	4744	38	38	1849	3988	34307	2	39	38	3691	28	38	38	38	3680	39	4077	38	2910	1846	38	38	2910	3696
ERR1414042	39	4765	3689	3689	1847	917	30	38	38	38	4090	38	38	2928	38	38	38	38	5000	38	39	38	38	4098	35245	450	38	38	4058	3987	19454	5583	38	3689	40	38	3693	4751	1849	4753	39	38	38	38	2	38	4744	3696	2	38	38	3694	5167	39	5159	38	38	4748	38	5074	38	10	38	38	38	38	3	4102	3	38	38	2933	38	4092	38	2932	38	2941	27	38	39	53	2	0	38	5909	38	38	38	38	4753	38	1842	38	3683	8884	38	39	2915	1848	38	38	38	38	4086	2937	38	1837	4746	34201	3696	38	38	38	2929	39	38	38	38	3990	17170	38	39	38	38	2928	4658	38	3695	2	38	38	7027	3692	3687	38	4744	38	38	1849	3988	34307	2	39	38	3691	28	38	38	38	3680	39	4077	38	2910	1846	38	38	2910	3696
ERR1414017	1	4735	3657	3657	1815	885	40	0	0	0	4062	0	0	2896	0	0	0	0	4968	0	1	0	0	4066	35216	418	0	0	4030	3959	19424	5551	0	3657	2	0	3661	4721	1817	4723	1	0	0	0	38	0	4714	3664	36	0	0	3662	5135	1	5127	0	0	4718	0	5042	0	34	0	0	0	0	39	4070	39	0	0	2901	0	4064	0	2900	0	2909	37	0	1	21	38	38	0	5877	0	0	0	0	4723	0	1810	0	3651	8854	0	1	2883	1816	0	0	0	0	4054	2905	0	1805	4716	34172	3664	0	0	0	2897	1	0	0	0	3962	17140	0	1	0	0	2896	4626	0	3663	38	0	0	6995	3660	3655	0	4714	0	0	1817	3960	34278	38	1	0	3659	38	0	0	0	3648	1	4045	0	2878	1814	0	0	2878	3664
ERR024921	5878	7041	6172	6172	6245	6013	5911	5877	5877	5877	6775	5877	5877	6422	5877	5877	5877	5877	4976	5877	5878	5877	5877	6940	37050	5943	5877	5877	6709	6691	20277	6491	5877	6172	5879	5877	6177	7027	6247	7029	5878	5877	5877	5877	5909	5877	7020	6180	5907	5877	5877	6178	5791	5878	5096	5877	5877	7024	5877	5066	5877	5905	5877	5877	5877	5877	5910	6946	5910	5877	5877	6427	5877	6777	5877	6426	5877	6435	5908	5877	5878	5892	5909	5909	5877	0	5877	5877	5877	5877	7029	5877	6240	5877	6165	9466	5877	5878	6409	6246	5877	5877	5877	5877	6930	6431	5877	6235	7022	36025	6179	5877	5877	5877	6423	5878	5877	5877	5877	6694	17576	5877	5878	5877	5877	6422	5122	5877	6179	5909	5877	5877	6112	6175	6170	5877	7020	5877	5877	6247	6692	36024	5909	5878	5877	6174	5909	5877	5877	5877	6163	5878	6921	5877	6404	6244	5877	5877	6404	6180
ERR1414024	1	4735	3657	3657	1815	885	40	0	0	0	4062	0	0	2896	0	0	0	0	4968	0	1	0	0	4066	35216	418	0	0	4030	3959	19424	5551	0	3657	2	0	3661	4721	1817	4723	1	0	0	0	38	0	4714	3664	36	0	0	3662	5135	1	5127	0	0	4718	0	5042	0	34	0	0	0	0	39	4070	39	0	0	2901	0	4064	0	2900	0	2909	37	0	1	21	38	38	0	5877	0	0	0	0	4723	0	1810	0	3651	8854	0	1	2883	1816	0	0	0	0	4054	2905	0	1805	4716	34172	3664	0	0	0	2897	1	0	0	0	3962	17140	0	1	0	0	2896	4626	0	3663	38	0	0	6995	3660	3655	0	4714	0	0	1817	3960	34278	38	1	0	3659	38	0	0	0	3648	1	4045	0	2878	1814	0	0	2878	3664
ERR1414056	1	4735	3657	3657	1815	885	40	0	0	0	4062	0	0	2896	0	0	0	0	4968	0	1	0	0	4066	35216	418	0	0	4030	3959	19424	5551	0	3657	2	0	3661	4721	1817	4723	1	0	0	0	38	0	4714	3664	36	0	0	3662	5135	1	5127	0	0	4718	0	5042	0	34	0	0	0	0	39	4070	39	0	0	2901	0	4064	0	2900	0	2909	37	0	1	21	38	38	0	5877	0	0	0	0	4723	0	1810	0	3651	8854	0	1	2883	1816	0	0	0	0	4054	2905	0	1805	4716	34172	3664	0	0	0	2897	1	0	0	0	3962	17140	0	1	0	0	2896	4626	0	3663	38	0	0	6995	3660	3655	0	4714	0	0	1817	3960	34278	38	1	0	3659	38	0	0	0	3648	1	4045	0	2878	1814	0	0	2878	3664
